"Number of live births : by region and province, 1980, 1990 and 2000-2008",,,,,,,,,,,
,,,,,,,,,,,
Region/province,1980,1990,2000,2001,2002,2003,2004,2005,2006,2007,2008
,,,,,,,,,,,
Whole kingdom,"1,077,300","956,237","773,009","790,425","782,911","742,183","813,069","809,485","793,623","797,588","784,256"
,,,,,,,,,,,
Bangkok,"125,270","139,005","119,794","112,338","114,378","113,284","117,601","113,672","110,734","110,222","106,655"
,,,,,,,,,,,
Vicinity of Bangkok,"34,111","35,643","48,995","49,530","54,309","50,797","61,292","61,171","66,831","61,375","60,326"
,,,,,,,,,,,
Nakhon Pathom,"11,822","10,920","10,706","10,446","10,734","11,200","11,866","11,231","9,570","10,725","10,122"
Nonthaburi,"4,075","6,647","9,323","9,452","10,705","10,490","11,534","11,383","11,514","11,605","11,408"
Pathum Thani,"4,935","3,789","7,090","7,393","9,229","7,595","11,618","12,151","14,962","12,928","12,844"
Samut Prakan,"7,286","8,159","13,324","12,771","14,389","13,275","15,388","15,459","18,660","15,633","15,371"
Samut Sakhon,"5,993","6,128","8,552","9,468","9,252","8,237","10,886","10,947","12,125","10,484","10,581"
,,,,,,,,,,,
Central,"42,180","36,736","29,992","30,615","32,670","30,428","35,484","35,200","34,041","35,404","34,522"
,,,,,,,,,,,
Chai Nat,"5,386","3,692","2,280","2,272","2,451","2,219","2,595","2,797","2,791","3,003","2,874"
Phra Nakhon Si Ayutthaya,"9,535","6,444","7,031","8,223","9,100","8,649","9,975","9,908","9,746","10,350","10,133"
Lop Buri,"8,524","9,900","7,851","7,604","7,746","7,544","8,366","8,157","7,676","7,752","7,652"
Saraburi,"8,708","9,511","7,695","7,740","8,271","7,331","9,104","8,855","8,741","8,910","8,602"
Sing Buri ,"5,154","4,004","2,438","2,271","2,395","2,135","2,447","2,492","2,237","2,323","2,253"
Ang Thong,"4,873","3,185","2,697","2,505","2,707","2,550","2,997","2,991","2,850","3,066","3,008"
,,,,,,,,,,,
Eastern,"66,929","61,488","58,410","61,633","61,779","56,868","65,596","68,998","68,581","70,546","71,531"
,,,,,,,,,,,
Chanthaburi,"9,197","8,523","6,078","6,650","6,438","5,781","6,587","6,495","6,341","6,358","6,327"
Chachoengsao,"9,188","8,102","7,154","7,819","7,480","6,800","8,105","8,222","8,124","8,484","8,316"
