"Number of deaths : by region and province, 1980, 1990 and 2000-2008",,,,,,,,,,,
,1980,1990,2000,2001,2002,2003,2004,2005,2006,2007,2008
Whole kingdom,"247,970","252,512","365,741","369,493","380,364","384,131","393,592","395,374","391,126","393,255","397,327"
,,,,,,,,,,,
Bangkok,"26,299","29,068","37,257","38,963","38,667","38,276","37,580","38,441","38,825","38,174","38,090"
,,,,,,,,,,,
Vicinity of Bangkok,"11,434","14,180","22,938","23,506","24,888","24,497","25,261","26,158","25,787","25,715","25,511"
,,,,,,,,,,,
Nakhon Pathom,"3,065","3,569","5,294","5,293","5,544","5,373","5,333","5,542","5,482","5,390","5,281"
Nonthaburi,"2,767","3,399","5,633","5,796","5,986","5,640","5,720","5,909","5,759","5,669","5,490"
Pathum Thani,"1,593","1,858","3,590","3,854","4,213","4,155","4,907","5,008","5,067","5,103","5,234"
Samut Prakan,"2,755","3,579","5,424","5,566","6,141","6,250","5,887","6,299","6,194","6,229","6,241"
Samut Sakhon,"1,254","1,775","2,997","2,997","3,004","3,079","3,414","3,400","3,285","3,324","3,265"
,,,,,,,,,,,
Central,"13,506","14,612","19,739","21,535","21,493","22,186","23,390","23,309","23,274","23,055","23,326"
,,,,,,,,,,,
Chai Nat,"1,757","1,723","2,067","2,327","2,474","2,484","2,553","2,732","2,656","2,734","2,716"
Phra Nakhon Si Ayutthaya,"3,126","2,977","4,745","5,245","5,451","5,561","5,864","5,929","5,876","5,876","5,811"
Lop Buri,"2,652","3,112","4,998","5,376","5,409","5,553","5,503","5,161","5,365","5,409","5,597"
Saraburi,"2,999","3,581","3,949","4,134","4,183","4,474","4,921","4,969","4,947","4,631","4,848"
Sing Buri,"1,444","1,711","1,956","2,123","1,799","1,830","2,122","2,060","2,098","2,033","1,968"
Ang Thong,"1,528","1,508","2,024","2,330","2,177","2,284","2,427","2,458","2,332","2,372","2,386"
,,,,,,,,,,,
Eastern,"17,764","17,149","26,016","26,574","28,413","28,767","28,831","29,627","29,611","29,477","29,983"
,,,,,,,,,,,
Chanthaburi,"2,910","2,700","3,322","3,554","3,658","3,649","3,771","3,796","3,796","3,633","3,580"
Chachoengsao,"2,661","2,595","3,672","3,951","4,174","4,410","4,322","4,380","4,475","4,508","4,387"
Chon Buri,"4,120","4,986","7,892","7,689","8,480","8,755","8,611","8,802","8,906","8,814","9,047"
Trat,"1,273","1,062","1,221","1,305","1,387","1,241","1,246","1,243","1,177","1,196","1,305"
Nakhon Nayok,"1,223","1,168","1,511","1,576","1,644","1,773","1,819","1,870","1,941","1,953","1,940"
Prachin Buri,"3,731","2,500","2,764","2,799","2,900","3,119","2,957","3,049","2,940","2,918","2,945"
Rayong,"1,846","2,138","3,301","3,323","3,714","3,383","3,619","3,967","3,884","3,829","3,976"
Sa Kaeo,-,-,"2,333","2,377","2,456","2,437","2,486","2,520","2,492","2,626","2,803"
,,,,,,,,,,,
Western,"14,894","15,135","21,982","22,496","23,160","23,839","23,385","24,092","23,606","23,925","23,983"
,,,,,,,,,,,
Kanchanaburi,"2,224","2,437","4,002","3,966","4,143","4,460","4,410","4,377","4,373","4,340","4,611"
Prachuap Khiri Khan,"1,353","2,405","2,553","2,632","2,680","2,709","2,906","2,794","2,688","2,882","2,920"
Phetchaburi,"2,155","2,229","3,081","3,224","3,273","3,281","3,123","3,104","3,080","3,161","2,999"
Ratchaburi,"4,221","4,073","5,606","5,569","5,693","5,902","6,019","5,887","5,887","5,948","5,982"
Samut Songkhram,912,934,"1,276","1,378","1,465","1,464","1,268","1,406","1,292","1,303","1,223"
Suphan Buri,"4,029","3,858","5,464","5,727","5,906","6,023","5,659","6,524","6,286","6,291","6,248"
,,,,,,,,,,,
Northeastern,"80,185","78,900","110,095","110,014","112,800","115,302","120,249","120,850","117,856","119,939","123,222"
,,,,,,,,,,,
Kalasin,"4,122","4,058","5,236","5,129","5,212","5,101","5,539","5,668","5,408","5,618","5,847"
