"Population from registration record : by gender and province, 2007-2008",,,,,,,
,,2008,,,2007,,Total
Region/province,Male,Female,Total,Male,Female,Total,growth rate
,,,,,,,(%)
Whole kingdom,"31,255,869","32,133,861","63,389,730","31,095,942","31,942,305","63,038,247",0.56
,,,,,,,
Bangkok,"2,722,313","2,988,570","5,710,883","2,727,574","2,988,674","5,716,248",-0.09
,,,,,,,
Vicinity of Bangkok,"2,134,194","2,316,617","4,450,811","2,090,469","2,258,409","4,348,878",2.34
,,,,,,,
Nakhon Pathom,"406,431","437,168","843,599","401,245","429,725","830,970",1.52
Nonthaburi,"496,958","555,634","1,052,592","484,838","539,353","1,024,191",2.77
Pathum Thani,"443,191","486,059","929,250","428,791","468,052","896,843",3.61
Samut Prakan,"555,811","591,413","1,147,224","547,341","579,599","1,126,940",1.80
Samut Sakhon,"231,803","246,343","478,146","228,254","241,680","469,934",1.75
,,,,,,,
Central,"1,460,808","1,520,093","2,980,901","1,451,481","1,512,014","2,963,495",0.59
,,,,,,,
Chai Nat,"162,363","173,589","335,952","162,947","174,200","337,147",-0.35
Phra Nakhon Si Ayutthaya,"371,557","397,569","769,126","367,673","393,039","760,712",1.11
Lop Buri,"378,455","375,346","753,801","375,677","374,144","749,821",0.53
Saraburi,"308,263","313,377","621,640","305,056","310,700","615,756",0.96
Sing Buri,"103,118","112,433","215,551","103,166","112,487","215,653",-0.05
Ang Thong,"137,052","147,779","284,831","136,962","147,444","284,406",0.15
,,,,,,,
Eastern,"2,229,876","2,279,709","4,509,585","2,198,566","2,244,483","4,443,049",1.50
,,,,,,,
Chanthaburi,"250,599","257,421","508,020","248,842","255,161","504,003",0.80
Chachoengsao,"326,360","338,470","664,830","323,500","335,466","658,966",0.89
Chon Buri,"621,057","643,630","1,264,687","607,029","626,417","1,233,446",2.53
Trat,"111,466","110,361","221,827","110,876","109,667","220,543",0.58
Nakhon Nayok,"124,013","126,740","250,753","122,765","125,731","248,496",0.91
Prachin Buri,"228,083","231,296","459,379","225,786","229,202","454,988",0.97
Rayong,"295,424","303,240","598,664","288,098","295,372","583,470",2.60
Sa Kaeo,"272,874","268,551","541,425","271,670","267,467","539,137",0.42
,,,,,,,
Western,"1,810,449","1,864,222","3,674,671","1,800,804","1,853,361","3,654,165",0.56
,,,,,,,
Kanchanaburi,"423,950","416,955","840,905","421,707","413,575","835,282",0.67
Prachuap Khiri Khan,"251,428","248,950","500,378","248,290","246,298","494,588",1.17
Phetchaburi,"222,421","236,554","458,975","220,847","235,214","456,061",0.64
Ratchaburi,"409,115","426,746","835,861","407,338","424,100","831,438",0.53
Samut Songkhram,"93,331","100,723","194,054","93,526","100,686","194,212",-0.08
Suphan Buri,"410,204","434,294","844,498","409,096","433,488","842,584",0.23
,,,,,,,
Northeastern,"10,704,279","10,738,414","21,442,693","10,675,024","10,710,623","21,385,647",0.27
,,,,,,,
Kalasin,"488,205","490,378","978,583","487,574","489,934","977,508",0.11
